AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
AEA 267,Winnebago County,Forest City Community School District,Forest City Elementary School,2295-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Prairie Lakes AEA,Webster County,Fort Dodge Community School District,Fort Dodge High School,2313-0109,High,"09, 10, 11, 12",2014-2015,Needs Improvement
Great Prairie AEA,Lee County,Fort Madison Community School District,Lincoln Elementary School,2322-0436,Elementary,"KG,  01, 02, 03",2014-2015,Unable to Rate
Northwest AEA,Ida County,Galva-Holstein Community School District,Galva-Holstein Upper Elementary,2376-0418,Elementary,"03, 04, 05",2014-2015,High-Performing
AEA 267,Tama County,Gladbrook-Reinbeck Community School District,Gladbrook-Reinbeck Middle School,2502-0209,Middle,"05, 06, 07, 08",2014-2015,Needs Improvement
Green Hills AEA,Mills County,Glenwood Community School District,West Elementary School,2511-0409,Elementary,"03, 04, 05",2014-2015,High-Performing
Prairie Lakes AEA,Dickinson County,Graettinger-Terril Community School District,Graettinger-Terril Elementary School,2556-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Priority
Green Hills AEA,Adair County,Nodaway Valley Community School District,Nodaway Valley Middle School,2673-0172,Middle,"05, 06, 07, 08",2014-2015,Acceptable
AEA 267,Poweshiek County,Grinnell-Newburg Community School District,Davis Elementary School,2709-0427,Elementary,"03, 04",2014-2015,High-Performing
Green Hills AEA,Cass County,Griswold Community School District,Griswold Middle/High School,2718-0109,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,High-Performing
AEA 267,Grundy County,Grundy Center Community School District,Grundy Center High School,2727-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Keystone AEA,Clayton County,Clayton Ridge Community School District,Clayton Ridge Elementary School,2763-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,High-Performing
Green Hills AEA,Freemont County,Hamburg Community School District,Nishnabotna Middle School,2772-0209,Middle,"06, 07, 08",2014-2015,Acceptable
AEA 267,Franklin County,Hampton-Dumont Community School District,South Side Elementary School,2781-0445,Elementary,"KG,  01, 02, 03",2014-2015,Priority
Northwest AEA,O'Brien County,Hartley-Melvin-Sanborn Community School District,Hartley-Melvin-Sanborn High School,2862-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Grant Wood AEA,Washington County,Highland Community School District,Riverside Elementary School,2977-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Northwest AEA,Plymouth County,Hinton Community School District,Hinton High School,2988-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,High-Performing
Grant Wood AEA,Johnson County,Iowa City Community School District,Iowa City High School,3141-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Grant Wood AEA,Johnson County,Iowa City Community School District,Buford Garner Elementary,3141-0401,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Grant Wood AEA,Johnson County,Iowa City Community School District,Central Elementary School,3141-0403,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Grant Wood AEA,Johnson County,Iowa City Community School District,Robert Lucas Elementary School,3141-0436,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Needs Improvement
Grant Wood AEA,Johnson County,Iowa City Community School District,Mark Twain Elementary,3141-0472,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Priority
Heartland AEA,Polk County,Johnston Community School District,Henry A Wallace Elementary School,3231-0412,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,High-Performing
Heartland AEA,Polk County,Johnston Community School District,Lawson Elementary School,3231-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,High-Performing
Northwest AEA,Woodbury County,Kingsley-Pierson Community School District,Pierson Elementary School,3348-0418,Elementary,05,2014-2015,Unable to Rate
Heartland AEA,Marion County,Knoxville Community School District,Knoxville Middle School,3375-0209,Middle,"06, 07, 08",2014-2015,Commendable
Green Hills AEA,Decatur County,Lamoni Community School District,Lamoni Elementary School,3465-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Mississippi Bend AEA,Louisa County,Louisa-Muscatine Community School District,Louisa-Muscatine Elementary,3841-0421,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Heartland AEA,Boone County,Madrid Community School District,Madrid High School,3942-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Prairie Lakes AEA,Webster County,Manson Northwest Webster Community School District,Manson Northwest Webster Elementary School-Barnum,4023-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Mississippi Bend AEA,Jackson County,Maquoketa Community School District,Maquoketa Middle School,4041-0209,Middle,"06, 07, 08",2014-2015,Needs Improvement
Mississippi Bend AEA,Jackson County,Maquoketa Community School District,Cardinal Elementary  School,4041-0409,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Mississippi Bend AEA,Jackson County,Maquoketa Community School District,Briggs Elementary School,4041-0418,Elementary,"03, 04, 05",2014-2015,Commendable
Northwest AEA,Cherokee County,Marcus-Meriden-Cleghorn Community School District,Marcus-Meriden-Cleghorn  Primary,4068-0418,Elementary,"KG,  01, 02, 03",2014-2015,Unable to Rate
AEA 267,Marshall County,Marshalltown Community School District,B R Miller Middle School,4104-0218,Middle,"07, 08",2014-2015,Acceptable
Heartland AEA,Warren County,Martensdale-St Marys Community School District,Martensdale-St Marys Jr-Sr High School,4122-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Commendable
AEA 267,Cerro Gordo County,Mason City Community School District,Mason City High School,4131-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
