AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Heartland AEA,Madison County,Winterset Community School District,Winterset Bridges School,7056-0118,High,"11, 12",2014-2015,Unable to Rate
Heartland AEA,Madison County,Winterset Community School District,Winterset Elementary School,7056-0436,Elementary,"KG,  01, 02, 03",2014-2015,Acceptable
Green Hills AEA,Pottawattamie County,A-H-S-T Community School District,A-H-S-T High School,0441-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Commendable
Heartland AEA,Story County,Ballard Community School District,West Elementary,0472-0425,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Grant Wood AEA,Benton County,Benton Community School District,Keystone Elementary School,0609-0418,Elementary,"03, 04, 05, 06",2014-2015,Commendable
Mississippi Bend AEA,Scott County,Bettendorf Community School District,Mark Twain Elementary School,0621-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Bondurant-Farrar Community School District,Morris Elementary,0720-0427,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Heartland AEA,Boone County,Boone Community School District,Lincoln Elementary School,0729-0436,Elementary,"KG,  01",2014-2015,Unable to Rate
AEA 267,Winnebago County,North Iowa Community School District,North Iowa High School,0873-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Winnebago County,North Iowa Community School District,North Iowa Middle School,0873-0172,Middle,"05, 06, 07, 08",2014-2015,Needs Improvement
Great Prairie AEA,Des Moines County,Burlington Community School District,North Hill Elementary School,0882-0454,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Green Hills AEA,Cass County,CAM Community School District,Iowa Connections Academy High School,0914-0136,High,"09, 10, 11, 12",2014-2015,Unable to Rate
Green Hills AEA,Cass County,CAM Community School District,CAM South Elementary School,0914-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,High-Performing
Green Hills AEA,Cass County,CAM Community School District,Iowa Connections Academy Elementary,0914-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
AEA 267,Franklin County,CAL Community School District,CAL Community High School,0916-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Needs Improvement
Mississippi Bend AEA,Clinton County,Calamus-Wheatland Community School District,Calamus-Wheatland Sec Attendance Center,0918-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Commendable
Mississippi Bend AEA,Clinton County,Camanche Community School District,Camanche High School,0936-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Great Prairie AEA,Wapello County,Cardinal Community School District,Cardinal Middle-Senior High School,0977-0109,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Black Hawk County,Cedar Falls Community School District,Holmes Junior High School,1044-0205,Middle,"07, 08, 09",2014-2015,Commendable
AEA 267,Black Hawk County,Cedar Falls Community School District,Lincoln Elementary School,1044-0427,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
AEA 267,Black Hawk County,Cedar Falls Community School District,North Cedar Elementary School,1044-0454,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Arthur Elementary School,1053-0418,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Erskine Elementary School,1053-0445,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Jackson Elementary School,1053-0627,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Grant Wood AEA,Linn County,Center Point-Urbana Community School District,Center Point-Urbana Intermediate School,1062-0418,Elementary,"03, 04, 05",2014-2015,Acceptable
Great Prairie AEA,Appanoose County,Centerville Community School District,Centerville High School,1071-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Great Prairie AEA,Appanoose County,Centerville Community School District,Central Ward Elementary School,1071-0409,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Great Prairie AEA,Lee County,Central Lee Community School District,Central Lee Middle  School,1079-0209,Middle,"06, 07, 08",2014-2015,Commendable
Keystone AEA,Clayton County,Central Community School District,Elkader Elementary School,1080-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Green Hills AEA,Decatur County,Central Decatur Community School District,South Elementary School,1093-0436,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Northwest AEA,Lyon County,Central Lyon Community School District,Central Lyon Middle School,1095-0209,Middle,"06, 07, 08",2014-2015,Acceptable
Northwest AEA,Cherokee County,Cherokee Community School District,Washington High School,1152-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Prairie Lakes AEA,Wright County,Clarion-Goldfield-Dows Community School District,Clarion-Goldfield-Dows Elementary School,1206-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Grant Wood AEA,Iowa County,Clear Creek Amana Community School District,Amana Elementary School,1221-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
Grant Wood AEA,Linn County,College Community School District,Prairie Point,1337-0227,Middle,"07, 08, 09",2014-2015,Commendable
Grant Wood AEA,Linn County,College Community School District,Prairie Crest Elementary School,1337-0418,Elementary,"KG,  01, 02, 03, 04",2014-2015,Needs Improvement
Heartland AEA,Story County,Colo-NESCO School Community School District,Colo-NESCO Intermediate School,1359-0436,Elementary,"05, 06",2014-2015,Unable to Rate
Mississippi Bend AEA,Louisa County,Columbus Community School District,Roundy Elementary School,1368-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Needs Improvement
Green Hills AEA,Adams County,Corning Community School District,Corning High School,1431-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Green Hills AEA,Union County,Creston Community School District,Creston Elementary School,1503-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Great Prairie AEA,Des Moines County,Danville Community School District,Danville Junior-Senior High School,1602-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Commendable
Great Prairie AEA,Des Moines County,Danville Community School District,Danville Elementary School,1602-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Mississippi Bend AEA,Scott County,Davenport Community School District,Frank L Smart Intermediate,1611-0209,Middle,"06, 07, 08",2014-2015,Priority
Mississippi Bend AEA,Scott County,Davenport Community School District,Adams Elementary School,1611-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,Blue Grass Elementary School,1611-0412,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Mississippi Bend AEA,Scott County,Davenport Community School District,Hayes Elementary School,1611-0463,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,Monroe Elementary School,1611-0535,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Priority
Great Prairie AEA,Davis County,Davis County Community School District,Davis County Middle School,1619-0428,Middle,"05, 06, 07, 08",2014-2015,Acceptable
Northwest AEA,Crawford County,Denison Community School District,Denison High School,1701-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Bremer County,Denver Community School District,Denver Middle School,1719-0209,Middle,"06, 07, 08",2014-2015,Exceptional
Heartland AEA,Polk County,Des Moines Independent Community School District,North High School,1737-0127,High,"09, 10, 11, 12",2014-2015,Priority
Heartland AEA,Polk County,Des Moines Independent Community School District,McCombs Middle School,1737-0266,Middle,"06, 07, 08",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Merrill Middle School,1737-0272,Middle,"06, 07, 08",2014-2015,Commendable
Heartland AEA,Polk County,Des Moines Independent Community School District,Weeks Middle School,1737-0281,Middle,"06, 07, 08",2014-2015,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Capitol View Elementary School,1737-0427,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Howe Elementary,1737-0589,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Lovejoy Elementary School,1737-0647,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Madison Elementary School,1737-0661,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Morris Elementary School,1737-0886,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Needs Improvement
AEA 267,Grundy County,Dike-New Hartford Community School District,Dike Elementary School,1791-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,Commendable
AEA 267,Black Hawk County,Dunkerton Community School District,Dunkerton High School,1908-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Mississippi Bend AEA,Cedar County,Durant Community School District,Durant Elementary School,1926-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,Needs Improvement
Heartland AEA,Madison County,Earlham Community School District,Earlham Senior High School,1953-0172,High,"09, 10, 11, 12",2014-2015,Commendable
Heartland AEA,Madison County,Earlham Community School District,Earlham Middle School,1953-0209,Middle,"07, 08",2014-2015,High-Performing
AEA 267,Marshall County,East Marshall Community School District,East Marshall Middle School,1968-0209,Middle,"04, 05, 06, 07, 08",2014-2015,Commendable
Green Hills AEA,Union County,East Union Community School District,East Union Middle-High School,1970-0172,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Acceptable
Green Hills AEA,Union County,East Union Community School District,East Union Elementary,1970-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Keystone AEA,Delaware County,Edgewood-Colesburg Community School District,Edgewood-Colesburg High School,1989-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Commendable
Prairie Lakes AEA,Webster County,Fort Dodge Community School District,Butler Elementary School,2313-0418,Elementary,"KG,  01, 02, 03, 04",2014-2015,Needs Improvement
Great Prairie AEA,Lee County,Fort Madison Community School District,Fort Madison High School,2322-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Green Hills AEA,Freemont County,Fremont-Mills Community School District,Fremont-Mills Middle And Senior High School,2369-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Commendable
Prairie Lakes AEA,Humboldt County,Gilmore City-Bradgate Community School District,Gilmore City Elementary School,2493-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Unable to Rate
AEA 267,Grundy County,Gladbrook-Reinbeck Community School District,Gladbrook-Reinbeck High School,2502-0172,High,"09, 10, 11, 12",2014-2015,Commendable
AEA 267,Tama County,Gladbrook-Reinbeck Community School District,Gladbrook Elementary School,2502-0418,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
AEA 267,Poweshiek County,Grinnell-Newburg Community School District,Grinnell Community Senior High School,2709-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
AEA 267,Poweshiek County,Grinnell-Newburg Community School District,Fairview Elementary School,2709-0436,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Green Hills AEA,Cass County,Griswold Community School District,Lewis Elementary School,2718-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,High-Performing
AEA 267,Grundy County,Grundy Center Community School District,Grundy Center Elementary School,2727-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,Acceptable
Grant Wood AEA,Iowa County,H-L-V Community School District,H-L-V Elementary School,2766-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
