Year,County,AEA,District,District Name,Diploma Count,Private 4-Year,Public 4-Year,Community College,Private 2-Year,Other Training,Employment,Homemaker,Military,Unknown
2004-2005,96.00,1.00,6509.00,Turkey Valley Comm School District,58,8,15,0,29,4,1,0,0,1
2004-2005,63.00,11.00,6512.00,Twin Cedars Comm School District,39,8,2,0,17,5,7,0,0,0
2004-2005,46.00,8.00,6516.00,Twin Rivers Comm School District,28,2,3,0,18,3,0,1,0,1
2004-2005,78.00,13.00,6534.00,Underwood Comm School District,54,15,11,5,16,3,2,0,2,0
2004-2005,7.00,267.00,6536.00,Union Comm School District,87,11,27,0,30,1,5,0,2,11
2004-2005,8.00,11.00,6561.00,United Comm School District,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
2004-2005,77.00,11.00,6579.00,Urbandale Comm School District,257,46,79,3,83,8,22,0,2,14
2004-2005,33.00,1.00,6591.00,Valley Comm School District,44,9,9,0,15,5,4,0,2,0
2004-2005,89.00,15.00,6592.00,Van Buren Comm School District,57,6,7,0,35,1,4,0,2,2
2004-2005,25.00,11.00,6615.00,Van Meter Comm School District,28,2,9,0,13,0,4,0,0,0
2004-2005,17.00,267.00,6633.00,Ventura Comm School District,27,8,5,1,9,1,2,0,1,0
2004-2005,69.00,14.00,6651.00,Villisca Comm School District,30,3,9,1,15,0,1,0,1,0
2004-2005,6.00,10.00,6660.00,Vinton-Shellsburg Comm School District,121,13,24,2,42,10,6,0,5,19
2004-2005,44.00,16.00,6700.00,Waco Comm School District,30,9,7,2,8,2,1,0,0,1
2004-2005,81.00,8.00,6741.00,Wall Lake View Auburn Comm School District,49,4,16,0,20,2,3,0,4,0
2004-2005,78.00,13.00,6750.00,Walnut Comm School District,24,4,9,1,5,0,2,0,3,0
2004-2005,58.00,16.00,6759.00,Wapello Comm School District,58,10,3,0,21,3,3,0,0,18
2004-2005,9.00,267.00,6762.00,Wapsie Valley Comm School District,49,10,11,1,19,1,5,0,2,0
2004-2005,92.00,10.00,6768.00,Washington Comm School District,104,13,25,2,40,2,14,3,4,1
2004-2005,7.00,267.00,6795.00,Waterloo Comm School District,652,41,160,16,227,18,19,0,26,145
2004-2005,25.00,11.00,6822.00,Waukee Comm School District,206,25,68,5,59,0,20,0,5,24
2004-2005,9.00,267.00,6840.00,Waverly-Shell Rock Comm School District,190,44,49,7,59,8,16,1,2,4
2004-2005,93.00,15.00,6854.00,Wayne Comm School District,50,1,7,0,19,7,10,0,4,2
2004-2005,40.00,8.00,6867.00,Webster City Comm School District,147,15,31,4,71,0,18,0,1,7
2004-2005,74.00,8.00,6921.00,West Bend-Mallard Comm School District,30,2,8,0,16,3,0,0,1,0
2004-2005,16.00,10.00,6930.00,West Branch Comm School District,64,10,16,0,29,2,3,0,0,4
2004-2005,29.00,16.00,6937.00,West Burlington Ind Comm School District,45,6,5,0,28,1,3,0,2,0
2004-2005,33.00,1.00,6943.00,West Central Comm School District,19,2,1,0,11,1,3,0,1,0
2004-2005,28.00,1.00,6950.00,West Delaware County Comm School District,151,33,19,0,59,3,15,0,1,21
2004-2005,77.00,11.00,6957.00,West Des Moines Comm School District,611,107,282,0,107,43,0,0,3,69
2004-2005,31.00,1.00,6961.00,Western Dubuque Comm School District,245,29,54,3,106,6,34,4,2,7
2004-2005,43.00,13.00,6969.00,West Harrison Comm School District,43,7,14,0,14,3,4,0,1,0
2004-2005,70.00,9.00,6975.00,West Liberty Comm School District,86,9,16,7,39,3,9,2,1,0
2004-2005,60.00,4.00,6983.00,West Lyon Comm School District,68,11,22,1,19,0,10,0,2,3
2004-2005,64.00,267.00,6985.00,West Marshall Comm School District,56,8,8,3,26,3,7,0,1,0
2004-2005,67.00,12.00,6987.00,West Monona Comm School District,56,9,13,0,17,1,11,0,2,3
2004-2005,84.00,4.00,6990.00,West Sioux Comm School District,41,9,9,1,13,2,6,0,1,0
2004-2005,97.00,12.00,6992.00,Westwood Comm School District,58,6,11,1,24,6,3,1,2,4
2004-2005,67.00,12.00,7002.00,Whiting Comm School District,15,3,3,1,4,0,1,0,2,1
2004-2005,48.00,10.00,7029.00,Williamsburg Comm School District,87,16,24,0,37,0,3,0,3,4
2004-2005,70.00,9.00,7038.00,Wilton Comm School District,65,8,12,1,28,7,7,0,1,1
2004-2005,44.00,16.00,7047.00,Winfield-Mt Union Comm School District,37,3,4,0,24,1,3,0,2,0
2004-2005,61.00,11.00,7056.00,Winterset Comm School District,130,33,22,0,40,9,20,0,1,5
2004-2005,41.00,267.00,7083.00,Woden-Crystal Lake Comm School District,18,3,4,0,8,2,0,0,0,1
2004-2005,43.00,13.00,7092.00,Woodbine Comm School District,57,5,17,0,23,0,7,0,3,2
2004-2005,97.00,12.00,7098.00,Woodbury Central Comm School District,49,8,12,0,22,1,1,0,3,2
2004-2005,25.00,11.00,7110.00,Woodward-Granger Comm School District,57,8,11,0,19,5,7,0,0,7
2003-2004,42,267.00,0009,AGWSR Comm School District,62,7,8,28,5,0,11,2,1,0
2003-2004,39,11,0018,Adair-Casey Comm School District,43,9,6,9,0,3,6,0,4,6
2003-2004,25,11,0027,Adel-Desoto-Minburn Comm School District,112,24,25,35,7,6,10,0,4,1
2003-2004,75,12,0063,Akron Westfield Comm School District,52,6,18,14,0,2,12,0,0,0
2003-2004,11,8.00,0072,Albert City-Truesdale Comm School District,18,0,6,10,0,1,0,0,1,0
2003-2004,68,15,0081,Albia Comm School District,96,16,15,36,1,0,7,2,4,15
2003-2004,57,10,0099,Alburnett Comm School District,50,14,4,27,1,2,2,0,0,0
2003-2004,42,267.00,0108,Alden Comm. School District,18,1,2,10,0,0,1,0,0,4
2003-2004,55,8.00,0126,Algona Comm School District,111,12,27,43,3,7,14,1,1,3
2003-2004,03,01,0135,Allamakee Comm School District,133,19,27,46,1,4,23,0,6,7
2003-2004,12,267.00,0153,Allison-Bristow Comm School District,30,1,9,15,1,2,2,0,0,0
2003-2004,11,8.00,0171,Alta Comm School District,56,17,9,18,0,4,2,0,2,4
2003-2004,85,11,0225,Ames Comm School District,376,41,191,68,4,5,7,0,5,55
2003-2004,53,10,0234,Anamosa Comm School District,94,20,13,45,3,0,6,0,2,5
2003-2004,49,09,0243,Andrew Comm School District,15,6,1,5,1,0,2,0,0,0
2003-2004,15,13,0252,Anita Comm School District,37,5,7,11,0,0,8,0,3,3
2003-2004,77,11,0261,Ankeny Comm School District,386,54,166,116,1,12,5,0,10,22
2003-2004,97,12,0270,Anthon-Oto Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,12,267.00,0279,Aplington Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,32,8.00,0333,Armstrong-Ringsted Comm School District,34,0,11,18,0,0,3,0,1,1
2003-2004,24,12,0355,Ar-We-Va Comm School District,36,8,5,13,2,3,3,0,2,0
2003-2004,15,13,0387,Atlantic Comm School District,117,16,36,38,2,5,11,1,2,6
2003-2004,05,11,0414,Audubon Comm School District,76,12,25,28,3,1,5,0,1,1
2003-2004,18,12,0423,Aurelia Comm School District,19,5,5,5,0,1,1,0,2,0
2003-2004,78,13,0441,A-H-S-T Comm School District,43,1,15,20,0,0,4,0,2,1
2003-2004,85,11,0472,Ballard Comm School District,118,9,41,45,6,3,9,0,1,4
2003-2004,47,12,0504,Battle Creek-Ida Grove Comm School District,69,12,16,25,0,8,4,0,0,4
2003-2004,50,11,0513,Baxter Comm School District,21,0,2,11,2,3,3,0,0,0
2003-2004,38,267.00,0540,BCLUW Comm School District,39,8,15,13,0,1,1,0,0,1
2003-2004,87,14,0549,Bedford Comm School District,50,9,11,15,0,4,5,0,1,5
2003-2004,06,10,0576,Belle Plaine Comm School District,58,5,14,17,0,4,6,0,7,5
2003-2004,49,09,0585,Bellevue Comm School District,42,6,15,16,0,1,3,0,0,1
2003-2004,99,267.00,0594,Belmond-Klemme Comm School District,69,10,13,26,0,5,0,0,0,15
2003-2004,16,09,0603,Bennett Comm School District,10,3,3,3,0,0,0,0,0,1
2003-2004,06,10,0609,Benton Comm School District,134,23,18,69,3,4,10,0,3,4
2003-2004,82,09,0621,Bettendorf Comm School District,337,55,117,106,8,7,9,0,8,27
2003-2004,90,15,0657,Eddyville-Blakesburg Comm School District,83,10,16,42,0,3,5,0,3,4
2003-2004,77,11,0720,Bondurant-Farrar Comm School District,92,17,17,25,8,6,11,0,1,7
2003-2004,08,11,0729,Boone Comm School District,188,19,38,75,9,3,40,0,2,2
2003-2004,84,04,0747,Boyden-Hull Comm School District,31,12,3,10,0,2,3,0,1,0
2003-2004,41,267.00,0819,West Hancock Comm School District,54,15,3,22,5,3,2,0,2,2
2003-2004,79,267.00,0846,Brooklyn-Guernsey-Malcom Comm School District,54,8,11,22,2,3,2,0,2,4
2003-2004,95,267.00,0873,North Iowa Comm School District,52,7,10,30,0,0,1,0,1,3
2003-2004,29,16,0882,Burlington Comm School District,286,30,46,139,2,14,27,1,18,9
2003-2004,15,13,0914,C and M Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,35,267.00,0916,Cal Comm School District,30,1,9,18,0,0,0,0,1,1
2003-2004,23,09,0918,Calamus-Wheatland Comm School District,33,5,7,12,0,0,5,0,1,3
2003-2004,23,09,0936,Camanche Comm School District,74,12,10,33,2,6,2,0,1,8
2003-2004,90,15,0977,Cardinal Comm School District,42,5,3,19,0,1,0,0,4,10
2003-2004,91,11,0981,Carlisle Comm School District,98,21,14,39,2,3,10,1,2,6
2003-2004,14,11,0999,Carroll Comm School District,139,12,40,50,3,5,4,0,6,19
2003-2004,07,267.00,1044,Cedar Falls Comm School District,398,44,149,125,7,14,27,0,10,22
2003-2004,57,10,1053,Cedar Rapids Comm School District,1132,155,311,413,21,44,56,2,26,104
2003-2004,57,10,1062,Center Point-Urbana Comm School District,83,12,20,29,0,5,10,0,7,0
2003-2004,04,15,1071,Centerville Comm School District,115,6,14,68,0,3,20,0,4,0
2003-2004,56,16,1079,Central Lee Comm School District,95,13,17,30,0,1,14,3,8,9
2003-2004,22,01,1080,Central Comm School District,62,3,16,28,0,3,7,0,4,1
2003-2004,23,09,1082,Central Clinton Comm School District,155,32,41,52,2,7,11,0,2,8
2003-2004,57,10,1089,Central City Comm School District,37,6,3,10,0,1,10,0,2,5
2003-2004,27,14,1093,Central Decatur Comm School District,44,4,10,14,0,0,13,0,2,1
2003-2004,60,04,1095,Central Lyon Comm School District,47,7,17,9,0,4,6,0,1,3
2003-2004,59,15,1107,Chariton Comm School District,110,23,15,31,1,9,22,1,6,2
2003-2004,34,267.00,1116,Charles City Comm School District,146,24,40,43,2,13,12,2,4,6
2003-2004,24,12,1134,Charter Oak-Ute Comm School District,21,4,6,7,0,2,1,0,0,1
2003-2004,18,12,1152,Cherokee Comm School Dist,95,13,26,19,10,0,9,0,7,11
2003-2004,73,13,1197,Clarinda Community   School District,93,14,20,24,0,10,19,0,3,3
2003-2004,99,8.00,1206,Clarion-Goldfield Comm School District,66,7,15,34,0,4,1,0,1,4
2003-2004,20,14,1211,Clarke Comm School District,97,15,23,30,2,2,14,0,6,5
2003-2004,12,267.00,1215,Clarksville Comm School District,28,2,6,13,0,3,2,0,0,2
2003-2004,21,8.00,1218,Clay Central-Everly Comm School District,36,6,7,14,0,3,1,0,3,2
2003-2004,52,10,1221,Clear Creek-Amana Comm School District,75,9,16,20,0,3,4,0,3,20
2003-2004,87,14,1224,Clearfield Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,17,267.00,1233,Clear Lake Comm School District,111,18,36,45,1,3,4,0,2,2
2003-2004,23,09,1278,Clinton Comm School District,290,43,60,107,1,9,57,2,9,2
2003-2004,50,11,1332,Colfax-Mingo Comm School District,64,9,19,22,0,2,4,1,0,7
2003-2004,57,10,1337,College Comm School District,195,37,31,91,0,19,6,1,10,0
2003-2004,85,11,1350,Collins-Maxwell Comm School District,35,9,2,11,1,3,4,0,2,3
2003-2004,85,11,1359,Colo-Nesco Comm School District,47,7,7,19,4,1,8,0,1,0
2003-2004,58,09,1368,Columbus Comm School District,57,6,5,21,0,4,13,1,1,6
2003-2004,14,11,1413,Coon Rapids-Bayard Comm School District,38,5,6,20,0,4,1,0,1,1
2003-2004,02,14,1431,Corning Comm School District,52,7,17,17,3,1,4,0,2,1
2003-2004,41,267.00,1449,Corwith-Wesley Comm School District,23,2,5,12,0,1,1,0,2,0
2003-2004,78,13,1476,Council Bluffs Comm School District,558,56,101,199,14,35,66,3,25,59
2003-2004,88,14,1503,Creston Comm School District,120,13,30,43,1,3,12,1,9,8
2003-2004,25,11,1576,Dallas Center-Grimes Comm School District,101,24,28,31,2,0,4,0,4,8
2003-2004,29,16,1602,Danville  Community  School Distri,40,7,6,23,0,0,3,0,0,1
2003-2004,82,09,1611,Davenport Comm School District,1006,99,254,369,28,26,117,2,33,78
2003-2004,26,15,1619,Davis County Comm School District,103,2,16,61,1,3,13,0,5,2
2003-2004,96,01,1638,Decorah Comm School District,179,47,44,51,13,0,18,0,6,0
2003-2004,48,10,1647,Deep River-Millersburg Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,23,09,1675,Delwood Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,24,12,1701,Denison Comm School District,141,21,46,42,9,1,10,0,5,7
2003-2004,09,267.00,1719,Denver Comm School District,54,11,23,18,0,2,0,0,0,0
2003-2004,77,11,1737,Des Moines Independent Comm School District,1547,283,410,466,43,206,77,3,21,38
2003-2004,80,14,1782,Diagonal Comm School District,13,0,1,9,0,0,2,0,0,1
2003-2004,38,267.00,1791,Dike-New Hartford Comm School District,54,7,19,15,0,3,10,0,0,0
2003-2004,99,267,1854,Dows Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,31,01,1863,Dubuque Comm School District,695,105,147,261,11,28,111,2,20,10
2003-2004,07,267.00,1908,Dunkerton Comm School District,43,2,12,22,0,0,4,0,2,1
2003-2004,43,13,1917,Boyer Valley Comm School District,44,8,6,18,2,5,3,0,1,1
2003-2004,16,09,1926,Durant Comm School District,59,14,9,24,1,3,6,0,2,0
2003-2004,99,8.00,1944,Eagle Grove Comm School District,74,9,9,33,3,8,7,0,5,0
2003-2004,61,11,1953,Earlham Comm School District,38,8,11,11,1,0,4,0,1,2
2003-2004,10,267.00,1963,East Buchanan Comm School District,45,7,8,27,0,0,3,0,0,0
2003-2004,49,09,1965,East Central Comm School District,34,4,4,16,0,2,5,0,3,0
2003-2004,37,8.00,1967,East Greene Comm School District,20,2,3,11,0,1,3,0,0,0
2003-2004,64,267.00,1968,East Marshall Comm School District,56,3,8,24,0,8,0,0,1,12
2003-2004,67,12,1969,East Monona Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,88,14,1970,East Union Comm School District,39,7,6,11,0,1,6,0,6,2
2003-2004,03,01,1972,Eastern Allamakee Comm School District,41,6,6,13,0,1,12,0,3,0
2003-2004,97,12,1975,River Valley Comm School District,36,9,6,10,0,3,7,0,1,0
2003-2004,28,01,1989,Edgewood-Colesburg Comm School District,44,11,9,14,1,2,4,0,3,0
2003-2004,42,267.00,2007,Eldora-New Providence Comm School District,64,9,15,20,0,2,7,1,6,4
2003-2004,83,13,2016,Elk Horn-Kimballton Comm School District,25,3,11,8,0,0,2,0,1,0
2003-2004,74,8.00,2088,Emmetsburg ,83,20,11,34,0,1,13,0,1,3
2003-2004,48,10,2097,English Valleys Comm School District,44,4,9,16,0,4,9,0,2,0
2003-2004,73,13,2113,Essex Comm School District,20,0,6,7,1,3,2,0,1,0
2003-2004,32,8.00,2124,Estherville Lincoln Central Com Sch Dist,104,13,9,57,0,4,13,0,4,4
2003-2004,05,11,2151,Exira Comm School District,22,7,2,9,0,0,2,1,1,0
2003-2004,51,15,2169,Fairfield Comm School District,150,11,46,64,1,7,8,0,3,10
2003-2004,36,13,2205,Farragut Comm School District,21,3,2,12,1,0,2,0,1,0
2003-2004,95,267.00,2295,Forest City Comm School District,109,26,18,46,3,0,9,0,4,3
2003-2004,94,8.00,2313,Fort Dodge Comm School District,259,21,39,132,2,7,41,1,12,4
2003-2004,56,16,2322,Fort Madison Comm School District,169,15,31,90,1,0,20,1,10,1
2003-2004,89,15,2327,Fox Valley Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,19,01,2349,Fredericksburg Comm School District,38,13,4,17,0,1,3,0,0,0
2003-2004,62,15,2367,Fremont Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,36,13,2369,Fremont-Mills Comm School District,33,4,9,10,0,4,0,1,2,3
2003-2004,47,12,2376,Galva-Holstein Comm School District,51,8,22,14,0,0,3,0,0,4
2003-2004,22,01,2394,Garnavillo Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,41,267.00,2403,Garner-Hayfield Comm School District,79,5,18,51,0,2,2,0,1,0
2003-2004,60,04,2457,George Comm School District,41,1,14,15,0,0,7,1,2,1
2003-2004,85,11,2466,Gilbert Comm School District,78,16,31,21,1,1,7,0,1,0
2003-2004,46,8.00,2493,Gilmore City-Bradgate Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,86,267.00,2502,Gladbrook-Reinbeck Comm School District,60,15,11,28,0,3,2,0,1,0
2003-2004,65,13,2511,Glenwood Comm School District,146,19,38,51,1,3,21,0,6,7
2003-2004,14,11,2520,Glidden-Ralston Comm School District,28,4,9,10,4,1,0,0,0,0
2003-2004,74,8.00,2556,Graettinger Comm School District,19,3,6,8,0,0,2,0,0,0
2003-2004,08,11,2570,Grand Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,12,267.00,2664,Greene Comm School District,25,3,4,13,0,2,2,0,1,0
2003-2004,01,14,2673,Nodaway Valley Comm School District,66,11,8,27,0,4,13,0,0,3
2003-2004,86,267.00,2682,GMG Comm School District,31,5,4,15,0,1,5,0,0,1
2003-2004,79,267.00,2709,Grinnell-Newburg Comm School District,134,41,25,47,4,7,4,0,2,4
2003-2004,15,13,2718,Griswold Comm School District,62,8,14,21,6,2,4,0,7,0
2003-2004,38,267.00,2727,Grundy Center Comm School District,59,9,10,26,2,2,8,0,0,2
2003-2004,39,11,2754,Guthrie Center Comm School District,24,3,8,8,3,2,0,0,0,0
2003-2004,22,01,2763,Guttenberg Comm School District,71,18,6,25,1,2,11,0,1,7
2003-2004,48,10,2766,H-L-V Comm School District,32,6,4,5,2,0,14,0,1,0
2003-2004,36,13,2772,Hamburg Comm School District,29,5,5,6,2,7,3,1,0,0
2003-2004,35,267.00,2781,Hampton-Dumont Comm School District,106,12,26,37,2,4,2,0,3,20
2003-2004,83,13,2826,Harlan Comm School District,139,12,36,55,2,10,3,1,1,19
2003-2004,89,15,2834,Harmony Comm School District,29,3,3,16,0,0,5,0,1,1
2003-2004,30,8.00,2846,Harris-Lake Park Comm School District,19,2,6,10,0,1,0,0,0,0
2003-2004,71,04,2862,Hartley-Melvin-Sanborn Comm School District,78,19,16,23,0,10,7,0,1,2
2003-2004,92,10,2977,Highland Comm School District,40,5,5,21,1,0,6,0,2,0
2003-2004,75,12,2988,Hinton Comm School District,43,10,12,15,1,2,1,0,1,1
2003-2004,45,01,3029,Howard-Winneshiek Comm School District,147,27,20,80,0,2,14,0,0,4
2003-2004,42,267.00,3033,Hubbard-Radcliffe Comm School District,43,4,7,26,0,2,2,0,1,1
2003-2004,07,267.00,3042,Hudson Comm School District,89,10,34,26,5,5,6,0,3,0
2003-2004,46,8.00,3060,Humboldt Comm School District,117,11,30,62,4,1,6,0,2,1
2003-2004,10,267.00,3105,Independence Comm School District,109,10,25,47,0,5,21,0,0,1
2003-2004,91,11,3114,Indianola Comm School District,230,68,48,60,1,7,13,0,18,15
2003-2004,61,11,3119,Interstate 35 Comm School District,51,15,6,17,3,5,4,0,0,1
2003-2004,52,10,3141,Iowa City Comm School District,562,111,240,147,2,9,18,0,5,30
2003-2004,42,267.00,3150,Iowa Falls Comm School District,79,5,7,44,2,0,18,0,3,0
2003-2004,48,10,3154,Iowa Valley Comm School District,46,5,4,26,2,1,6,0,2,0
2003-2004,83,13,3168,IKM Community School,36,10,12,9,0,3,0,0,2,0
2003-2004,09,267.00,3186,Janesville Consolidated School District,16,2,2,8,2,1,0,0,0,1
2003-2004,37,8.00,3195,Jefferson-Scranton Comm School District,107,20,14,43,4,4,18,0,2,2
2003-2004,10,267.00,3204,Jesup Comm School District,58,3,13,28,3,2,4,0,1,4
2003-2004,77,11,3231,Johnston Comm School District,236,53,82,65,8,5,16,0,2,5
2003-2004,56,16,3312,Keokuk Comm School District,147,11,37,50,0,4,4,0,5,36
2003-2004,54,15,3330,Keota Comm School District,29,2,8,11,2,1,2,0,3,0
2003-2004,75,12,3348,Kingsley-Pierson Comm School District,31,6,8,13,0,0,4,0,0,0
2003-2004,63,11,3375,Knoxville Comm School District,150,18,27,29,19,14,17,2,5,19
2003-2004,95,267.00,3420,Lake Mills Comm School District,62,8,22,20,0,0,5,0,5,2
2003-2004,27,14,3465,Lamoni Comm School District,29,12,5,3,4,1,1,0,3,0
2003-2004,76,8.00,3537,Laurens-Marathon Comm School District,39,8,14,12,2,1,0,0,0,2
2003-2004,97,12,3555,Lawton-Bronson Comm School District,47,9,18,11,0,3,5,0,0,1
2003-2004,75,12,3600,Le Mars Comm School District,172,29,42,72,2,8,14,0,2,3
2003-2004,87,14,3609,Lenox Comm School District,33,3,13,9,0,2,2,0,2,2
2003-2004,78,13,3645,Lewis Central Comm School District,175,14,53,54,0,5,5,0,4,40
2003-2004,16,10,3691,North Cedar Comm School District,81,16,15,29,1,6,8,0,4,2
2003-2004,93,15,3705,Lineville-Clio Comm School District,9,1,0,4,0,1,1,0,2,0
2003-2004,57,10,3715,Linn-Mar Comm School District,293,57,114,102,8,0,7,0,5,0
2003-2004,57,10,3744,Lisbon Comm School District,36,7,6,11,0,3,8,0,1,0
2003-2004,60,04,3771,Little Rock Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,43,13,3798,Logan-Magnolia Comm School District,55,2,13,15,0,5,15,0,3,2
2003-2004,52,10,3816,Lone Tree Comm School District,36,6,10,12,0,1,7,0,0,0
2003-2004,58,09,3841,Louisa-Muscatine Comm School District,66,4,8,37,1,3,8,0,2,3
2003-2004,55,8.00,3897,LuVerne Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,50,11,3906,Lynnville-Sully Comm School District,40,9,8,11,0,6,6,0,0,0
2003-2004,08,11,3942,Madrid Comm School District,34,6,6,12,0,4,5,0,1,0
2003-2004,65,13,3978,Malvern Comm School District,28,3,5,15,0,1,3,1,0,0
2003-2004,14,11,4014,Manning Comm School District,31,4,6,16,1,1,1,0,1,1
2003-2004,13,8.00,4023,Manson Northwest Webster Comm School District,48,2,13,21,0,4,4,0,2,2
2003-2004,67,12,4033,Maple Valley Comm School District,64,12,18,20,0,3,6,0,3,2
2003-2004,49,09,4041,Maquoketa Comm School District,142,25,17,45,5,9,23,0,8,10
2003-2004,28,01,4043,Maquoketa Valley Comm School District,80,23,13,33,1,1,4,0,3,2
2003-2004,18,04,4068,Marcus-Meriden-Cleghorn Comm School District,53,16,17,15,0,2,1,0,2,0
2003-2004,57,10,4086,Marion Independent School District,136,29,35,49,2,1,9,1,6,4
2003-2004,64,267.00,4104,Marshalltown Comm School District,327,34,94,134,5,9,43,3,5,0
2003-2004,91,11,4122,Martensdale-St Marys Comm School District,39,8,5,17,2,2,4,0,1,0
2003-2004,17,267.00,4131,Mason City Comm School District,313,24,70,121,7,18,41,0,13,19
2003-2004,84,04,4149,MOC-Floyd Valley Comm School District,101,52,12,16,1,12,7,0,1,0
2003-2004,29,16,4203,Mediapolis Comm School District,74,9,13,46,1,2,1,0,0,2
2003-2004,63,11,4212,Melcher-Dallas Comm School District,26,1,4,11,1,2,4,0,1,2
2003-2004,17,267.00,4266,Meservey-Thornton Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,53,10,4269,Midland Comm School District,56,15,5,20,3,1,3,0,1,8
2003-2004,92,10,4271,Mid-Prairie Comm School District,78,17,19,27,3,0,9,0,3,0
2003-2004,43,13,4356,Missouri Valley Comm School District,75,7,14,28,1,11,12,0,2,0
2003-2004,22,01,4419,MFL MarMac Comm School District,79,14,14,38,0,0,3,0,3,7
2003-2004,79,267.00,4437,Montezuma Comm School District,40,13,7,11,0,4,4,0,0,1
2003-2004,53,10,4446,Monticello Comm School District,93,20,17,39,0,2,1,0,1,13
2003-2004,04,15,4491,Moravia Comm School District,35,8,3,17,0,2,3,0,1,1
2003-2004,27,14,4505,Mormon Trail Comm School District,32,1,4,20,2,1,1,0,2,1
2003-2004,58,16,4509,Morning Sun Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,04,15,4518,Moulton-Udell Comm School District,23,2,0,16,1,0,3,0,0,1
2003-2004,80,14,4527,Mount Ayr Comm School District,71,6,6,28,4,2,11,0,0,14
2003-2004,44,16,4536,Mount Pleasant Comm School District,165,31,33,65,1,9,18,0,6,2
2003-2004,57,10,4554,Mount Vernon Comm School District,89,24,21,25,3,4,7,0,0,5
2003-2004,20,14,4572,Murray Comm School District,20,1,1,12,2,0,2,0,2,0
2003-2004,70,09,4581,Muscatine Comm School District,276,23,71,106,0,18,23,1,5,29
2003-2004,19,267.00,4599,Nashua-Plainfield Comm School District,74,14,17,33,2,0,4,0,0,4
2003-2004,85,11,4617,Nevada Comm School District,109,6,48,38,0,5,5,0,4,3
2003-2004,11,8.00,4644,Newell-Fonda Comm School District,41,0,25,14,0,0,1,0,1,0
2003-2004,19,01,4662,New Hampton Comm School District,96,15,29,29,8,0,10,0,2,3
2003-2004,44,16,4689,New London Comm School District,43,10,3,25,0,1,3,0,1,0
2003-2004,87,14,4698,New Market Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,50,11,4725,Newton Comm School District,210,24,62,80,1,16,25,0,2,0
2003-2004,65,13,4751,Nishna Valley Comm School District,25,12,5,5,0,0,1,0,2,0
2003-2004,34,267.00,4761,Nora Springs-Rock Falls Comm School District,43,5,5,23,1,1,8,0,0,0
2003-2004,98,267.00,4772,North Central Comm School District,47,4,10,27,0,0,3,0,3,0
2003-2004,23,09,4773,Northeast Comm School District,73,6,8,41,0,1,11,0,4,2
2003-2004,33,01,4774,North Fayette Comm School District,87,10,20,38,3,6,5,0,1,4
2003-2004,40,8.00,4775,Northeast Hamilton Comm School District,24,5,0,17,0,0,1,0,0,1
2003-2004,62,15,4776,North Mahaska Comm School District,37,12,1,17,0,3,3,0,0,1
2003-2004,57,10,4777,North Linn Community School Dist.,55,8,8,20,0,2,6,0,4,7
2003-2004,55,8.00,4778,North Kossuth Comm School District,47,7,10,22,2,0,3,0,0,3
2003-2004,77,11,4779,North Polk Comm School District,73,17,9,32,0,4,10,0,1,0
2003-2004,82,09,4784,North Scott Comm School District,217,48,43,76,0,5,32,0,7,6
2003-2004,86,267.00,4785,North Tama County Comm School District,41,11,4,15,0,4,4,0,2,1
2003-2004,96,01,4787,North Winneshiek Comm School District,0,0,0,0,0,0,0,0,0,0
2003-2004,98,267.00,4788,Northwood-Kensett Comm School District,44,8,11,17,0,2,0,0,1,5
2003-2004,91,11,4797,Norwalk Comm School District,129,0,61,46,3,5,2,0,6,6
2003-2004,81,8.00,4860,Odebolt-Arthur Comm School District,32,4,15,8,1,1,2,0,1,0
2003-2004,33,01,4869,Oelwein Comm School District,101,7,29,46,0,6,7,0,4,2
2003-2004,08,11,4878,Ogden Comm School District,71,9,23,28,0,0,7,0,2,2
2003-2004,30,8.00,4890,Okoboji Comm School District,77,20,19,27,0,1,5,0,3,2
2003-2004,53,10,4905,Olin Consolidated School District,24,8,2,9,0,0,5,0,0,0
2003-2004,01,14,4978,Orient-Macksburg Comm School District,21,3,5,9,1,2,0,0,1,0
2003-2004,66,267.00,4995,Osage Comm School District,98,12,20,35,1,6,11,0,6,7
